Sequence                  |     MOTA |       FP |       FN |     IDSW |     IDF1 |     HOTA |     DetA |     AssA |       GT
----------------------------------------------------------------------------------------------------------------------------
MultiUAV-002.txt          |  96.7934 |      109 |      734 |       20 |  96.2877 |  76.5342 |  77.4501 |  75.6688 |    26913
MultiUAV-007.txt          |  98.0404 |       27 |      543 |       15 |  94.3436 |  82.5859 |  85.0114 |  80.2468 |    29853
MultiUAV-009.txt          |  93.3499 |      107 |      423 |        4 |  96.0620 |  81.4123 |  80.2806 |  82.5924 |     8030
MultiUAV-010.txt          |  97.3333 |       20 |       76 |        4 |  95.4863 |  76.5409 |  76.5093 |  76.5993 |     3750
MultiUAV-013.txt          |  87.9550 |      413 |       37 |        0 |  94.2661 |  68.3445 |  64.8751 |  72.0030 |     3736
MultiUAV-031.txt          |  98.3200 |       63 |        0 |        0 |  99.1670 |  84.5133 |  83.6671 |  85.3887 |     3750
MultiUAV-039.txt          |  96.4519 |      163 |      749 |       17 |  90.5948 |  75.9927 |  79.1565 |  72.9759 |    26183
MultiUAV-041.txt          |  93.4590 |      198 |     1506 |       13 |  90.4321 |  73.8374 |  74.6566 |  73.0839 |    26250
MultiUAV-043.txt          |  87.8476 |      467 |     2683 |       40 |  80.2084 |  65.9502 |  71.2716 |  61.1505 |    26250
MultiUAV-046.txt          |  95.8629 |      216 |      855 |       15 |  90.7888 |  76.3876 |  80.1186 |  72.8614 |    26250
MultiUAV-053.txt          |  97.7486 |       52 |      529 |       10 |  97.4915 |  82.2052 |  82.3505 |  82.0761 |    26250
MultiUAV-065.txt          |  96.5622 |      212 |      529 |       19 |  89.2453 |  76.7951 |  81.2268 |  72.6494 |    22107
MultiUAV-067.txt          |  91.5854 |      137 |      298 |        5 |  91.6772 |  73.1632 |  73.1762 |  73.5241 |     5229
MultiUAV-070.txt          |  94.0877 |      109 |     1386 |       36 |  89.9610 |  71.8811 |  74.5916 |  69.2944 |    25895
MultiUAV-071.txt          |  97.8579 |      241 |      305 |       11 |  97.6435 |  76.6693 |  76.8232 |  76.5797 |    26003
MultiUAV-075.txt          |  98.6377 |      136 |      213 |        7 |  96.9553 |  77.4214 |  78.5343 |  76.3327 |    26133
MultiUAV-076.txt          |  96.1181 |      638 |      379 |        2 |  96.1239 |  74.3729 |  74.5168 |  74.2415 |    26250
MultiUAV-085.txt          |  98.3543 |      262 |      164 |        6 |  97.1444 |  76.2783 |  77.0502 |  75.5266 |    26250
MultiUAV-086.txt          |  94.3750 |      819 |      657 |        0 |  97.1962 |  72.6973 |  72.2775 |  73.1334 |    26240
MultiUAV-088.txt          |  98.9981 |       89 |      173 |        1 |  99.4009 |  78.5299 |  78.2351 |  78.8454 |    26250
MultiUAV-094.txt          |  97.1109 |      313 |      429 |        9 |  95.5467 |  73.7853 |  75.6102 |  72.0149 |    25994
MultiUAV-096.txt          |  97.8892 |      193 |      359 |        2 |  96.5524 |  74.0595 |  74.7327 |  73.4461 |    26246
MultiUAV-104.txt          |  96.9886 |      130 |      566 |       37 |  87.2445 |  76.5875 |  81.6108 |  71.9062 |    24341
MultiUAV-107.txt          |  98.6503 |       84 |      232 |       29 |  93.1926 |  79.1601 |  83.3600 |  75.1772 |    25561
MultiUAV-120.txt          |  90.4796 |       90 |      170 |        4 |  73.2528 |  66.7550 |  77.4656 |  57.5678 |     2773
MultiUAV-124.txt          |  90.6088 |      100 |      150 |        3 |  82.3904 |  72.0865 |  77.5045 |  67.0484 |     2694
MultiUAV-128.txt          |  96.1288 |        5 |       90 |        6 |  75.9790 |  67.9441 |  82.1917 |  56.1796 |     2609
MultiUAV-134.txt          |  98.7767 |        3 |       24 |        8 |  68.4441 |  65.0277 |  86.5998 |  48.8944 |     2861
MultiUAV-136.txt          |  97.0993 |       39 |       35 |        4 |  82.0513 |  77.9213 |  86.7895 |  69.9630 |     2689
MultiUAV-138.txt          |  97.2112 |        2 |       71 |        4 |  81.3130 |  74.0768 |  85.9444 |  63.8611 |     2761
MultiUAV-144.txt          |  97.9226 |       16 |      280 |        2 |  97.1927 |  76.7346 |  77.0934 |  76.4205 |    14345
MultiUAV-149.txt          |  98.3119 |      120 |      176 |        9 |  92.8160 |  79.0687 |  82.0827 |  76.1764 |    18068
MultiUAV-161.txt          |  97.0670 |      179 |      279 |       26 |  81.3822 |  67.1501 |  75.6751 |  59.7332 |    16502
MultiUAV-162.txt          |  96.6245 |      191 |      324 |       38 |  71.3940 |  58.8864 |  72.2963 |  48.1025 |    16383
MultiUAV-165.txt          |  97.9703 |       96 |      236 |       17 |  85.0453 |  69.7801 |  75.9233 |  64.4116 |    17195
MultiUAV-168.txt          |  98.2411 |      115 |      165 |       18 |  83.9392 |  70.6534 |  77.5570 |  64.6144 |    16942
MultiUAV-169.txt          |  71.4698 |     2345 |     2388 |        9 |  80.0265 |  51.6948 |  53.6529 |  49.9238 |    16621
MultiUAV-174.txt          |  42.0200 |     1128 |     4179 |       26 |  46.1909 |  33.4156 |  36.4290 |  30.8302 |     9198
MultiUAV-177.txt          |  61.6420 |      762 |     3762 |       36 |  43.0882 |  36.4381 |  46.4976 |  28.5952 |    11888
MultiUAV-181.txt          |  44.1553 |      576 |     5992 |       20 |  46.5728 |  31.4763 |  36.5919 |  27.2266 |    11797
MultiUAV-185.txt          |  91.1581 |      380 |      550 |       19 |  80.0244 |  61.8475 |  70.3204 |  54.4704 |    10733
MultiUAV-189.txt          |  90.9156 |      154 |      848 |       20 |  79.8863 |  61.2415 |  69.6036 |  53.9310 |    11250
MultiUAV-193.txt          |  64.5150 |      816 |     3075 |       12 |  72.3745 |  43.1507 |  45.8269 |  40.7266 |    10999
MultiUAV-204.txt          |  61.5067 |     4313 |     4346 |        2 |  79.8319 |  55.4380 |  55.0569 |  56.1909 |    22500
MultiUAV-205.txt          |  26.7600 |     8173 |     8298 |        8 |  62.5560 |  47.9222 |  48.1835 |  47.6807 |    22500
MultiUAV-210.txt          |  45.9422 |     6037 |     6123 |        3 |  72.7435 |  53.6310 |  53.2823 |  53.9961 |    22500
MultiUAV-213.txt          |  97.6802 |      195 |      320 |        5 |  94.6787 |  74.3073 |  75.7173 |  72.9311 |    22416
MultiUAV-216.txt          |  24.2000 |     8512 |     8541 |        2 |  61.6931 |  47.5448 |  47.3996 |  47.7009 |    22500
MultiUAV-220.txt          |  47.8533 |     5762 |     5963 |        8 |  72.2739 |  52.6356 |  52.7557 |  52.5252 |    22500
MultiUAV-226.txt          |  11.7689 |     9895 |     9952 |        5 |  51.9547 |  43.3035 |  45.1917 |  41.5076 |    22500
MultiUAV-233.txt          |  39.8441 |     4385 |     4483 |        5 |  65.9683 |  48.5480 |  50.0850 |  47.0720 |    14750
MultiUAV-239.txt          |  50.9867 |     3518 |     3825 |        9 |  68.8108 |  47.8597 |  50.9000 |  45.0211 |    15000
MultiUAV-244.txt          |  92.7544 |      485 |      531 |        2 |  94.5177 |  64.4876 |  63.5149 |  66.1884 |    14050
MultiUAV-249.txt          |  94.2648 |      380 |      457 |        0 |  97.1248 |  69.5022 |  69.0288 |  70.0125 |    14594
MultiUAV-252.txt          |  61.0467 |     2898 |     2945 |        0 |  80.4928 |  57.7779 |  57.3185 |  58.2487 |    15000
MultiUAV-255.txt          |  47.8873 |     3873 |     3934 |        0 |  73.8905 |  52.2856 |  52.0182 |  52.5678 |    14981
MultiUAV-284.txt          |  30.7333 |     3584 |     6756 |       50 |  41.9189 |  33.1196 |  41.9118 |  26.2420 |    15000
MultiUAV-293.txt          |  60.7989 |      409 |      962 |        3 |  70.2803 |  51.2774 |  53.2718 |  49.3810 |     3505
MultiUAV-298.txt          | -44.0625 |     3774 |     6272 |       11 |   8.3915 |  21.1091 |  26.5150 |  17.5885 |     6981
MultiUAV-300.txt          |  -8.7136 |     4055 |     5898 |       28 |  27.0597 |  26.4498 |  35.6685 |  20.2244 |     9181
----------------------------------------------------------------------------------------------------------------------------
OVERALL                   |  80.0184 |    82563 |   116225 |      724 |  83.7237 |  63.9709 |  67.5160 |  61.0179 |   998480
